"LS",1,1,1,"","LS001011.jpg"
"LS",2,1,2,"","LS002012.jpg"
"LS",3,1,1,"","LS003011.jpg"
"IN",2,1,1,"H","IN002011H.jpg"
"IN",1,3,0,"","IN001030.jpg"
"SH",1,1,0,"","SH001010.jpg"
"TR",4,1,2,"","TR004012.jpg"
"TR",2,1,2,"","TR002012.jpg"
"TR",3,1,2,"","TR003012.jpg"
"TR",1,1,1,"","TR001011.jpg"
"LP",2,2,1,"","LP002021.jpg"
"LP",19,2,0,"T","LP019020T.jpg"
"LP",20,2,0,"","LP020020.jpg"
"LP",8,2,1,"","LP008021.jpg"
"LP",22,2,3,"","LP022023.jpg"
"LP",10,2,1,"","LP010021.jpg"
"LP",6,2,1,"","LP006021.jpg"
"LP",17,2,2,"","LP017022.jpg"
"LP",16,2,0,"","LP016020.jpg"
"LP",13,3,0,"","LP013030.jpg"
"LP",11,3,0,"S","LP011030S.jpg"
"LP",18,2,1,"","LP018021.jpg"
"LP",21,2,3,"D","LP021023D.jpg"
"LP",5,1,2,"X","LP005012X.jpg"
"LP",7,2,0,"","LP007020.jpg"
"LP",9,2,0,"","LP009020.jpg"
"LP",14,2,0,"","LP014020.jpg"
"LP",12,3,0,"H","LP012030H.jpg"
"LP",4,2,0,"","LP004020.jpg"
"LP",1,2,0,"","LP001020.jpg"
"LP",15,3,0,"","LP015030.jpg"
"FI",1,3,3,"","FI001033.jpg"
"FI",4,3,3,"","FI004033.jpg"
"FI",2,2,0,"2","FI0020202.jpg"
"FI",3,1,2,"","FI003012.jpg"
"CA",1,1,0,"C","CA001010C.jpg"
